1_15_15_0.0001: tensor(0.0068)
1_15_15_0.0002: tensor(0.0055)
1_15_15_0.0003: tensor(0.0051)
1_15_15_0.0004: tensor(0.0050)
1_15_15_0.0005: tensor(0.0049)
1_15_15_0.0006: tensor(0.0048)
1_15_15_0.0007: tensor(0.0048)
1_15_15_0.0008: tensor(0.0047)
1_15_15_0.0009: tensor(0.0047)
1_15_15_0.001: tensor(0.0047)
1_15_15_0.002: tensor(0.0052)
1_15_15_0.003: tensor(0.0061)
1_15_15_0.004: tensor(0.0069)
1_15_15_0.005: tensor(0.0077)
1_15_15_0.006: tensor(0.0088)
1_15_15_0.007: tensor(0.0098)
1_15_15_0.008: tensor(0.0101)
1_15_15_0.009: tensor(0.0101)
1_15_15_0.01: tensor(0.0099)
1_15_15_0.02: tensor(0.0121)
1_15_15_0.03: tensor(0.0104)
1_15_15_0.04: tensor(0.0106)
1_15_15_0.05: tensor(0.0108)
1_15_15_0.06: tensor(0.0103)
1_15_15_0.07: tensor(0.0105)
1_15_15_0.08: tensor(0.0116)
1_15_15_0.09: tensor(0.0105)
1_15_15_0.1: tensor(0.0109)
1_15_15_0.2: tensor(0.0193)
1_15_15_0.3: tensor(0.0168)
1_15_15_0.4: tensor(0.0211)
1_15_15_0.5: tensor(0.0469)
1_15_15_0.6: tensor(0.0709)
1_15_15_0.7: tensor(0.0401)
1_15_15_0.8: tensor(0.0450)
1_15_15_0.9: tensor(0.2674)
1_15_15_1: tensor(0.0394)
