2_10-10_15_0.001_2: tensor(0.0058)
2_10-10_15_0.001_4: tensor(0.0045)
2_10-10_15_0.001_8: tensor(0.0042)
2_10-10_15_0.001_10: tensor(0.0044)
2_10-10_15_0.001_15: tensor(0.0050)
2_10-10_15_0.001_20: tensor(0.0053)
2_10-10_15_0.001_30: tensor(0.0060)
2_10-10_15_0.001_40: tensor(0.0065)
2_10-10_15_0.001_50: tensor(0.0069)
2_10-10_15_0.001_100: tensor(0.0083)
2_10-10_15_0.001_200: tensor(0.0105)
2_10-10_15_0.001_300: tensor(0.0111)
2_10-10_15_0.001_400: tensor(0.0111)
2_10-10_15_0.001_500: tensor(0.0116)
