2_5-5_15: tensor(0.0046)
2_5-5_30: tensor(0.0048)
2_5-5_50: tensor(0.0050)
2_5-5_100: tensor(0.0104)
2_5-5_150: tensor(0.0136)
2_5-5_200: tensor(0.0146)
2_5-5_300: tensor(0.0160)
2_5-5_400: tensor(0.0174)
2_5-5_500: tensor(0.0190)
2_5-5_600: tensor(0.0203)
2_10-10_15: tensor(0.0042)
2_10-10_30: tensor(0.0049)
2_10-10_50: tensor(0.0085)
2_10-10_100: tensor(0.0280)
2_10-10_150: tensor(0.0363)
2_10-10_200: tensor(0.0401)
2_10-10_300: tensor(0.0537)
2_10-10_400: tensor(0.0572)
2_10-10_500: tensor(0.0547)
2_10-10_600: tensor(0.0532)
2_15-15_15: tensor(0.0044)
2_15-15_30: tensor(0.0055)
2_15-15_50: tensor(0.0079)
2_15-15_100: tensor(0.0162)
2_15-15_150: tensor(0.0278)
2_15-15_200: tensor(0.0358)
2_15-15_300: tensor(0.0425)
2_15-15_400: tensor(0.0461)
2_15-15_500: tensor(0.0467)
2_15-15_600: tensor(0.0463)
2_20-20_15: tensor(0.0043)
2_20-20_30: tensor(0.0057)
2_20-20_50: tensor(0.0088)
2_20-20_100: tensor(0.0179)
2_20-20_150: tensor(0.0249)
2_20-20_200: tensor(0.0303)
2_20-20_300: tensor(0.0355)
2_20-20_400: tensor(0.0377)
2_20-20_500: tensor(0.0386)
2_20-20_600: tensor(0.0390)
