2_10-10_15_0.0001: tensor(0.0082)
2_10-10_15_0.0002: tensor(0.0067)
2_10-10_15_0.0003: tensor(0.0059)
2_10-10_15_0.0004: tensor(0.0055)
2_10-10_15_0.0005: tensor(0.0051)
2_10-10_15_0.0006: tensor(0.0048)
2_10-10_15_0.0007: tensor(0.0046)
2_10-10_15_0.0008: tensor(0.0044)
2_10-10_15_0.0009: tensor(0.0043)
2_10-10_15_0.001: tensor(0.0042)
2_10-10_15_0.002: tensor(0.0045)
2_10-10_15_0.003: tensor(0.0058)
2_10-10_15_0.004: tensor(0.0076)
2_10-10_15_0.005: tensor(0.0092)
2_10-10_15_0.006: tensor(0.0100)
2_10-10_15_0.007: tensor(0.0100)
2_10-10_15_0.008: tensor(0.0093)
2_10-10_15_0.009: tensor(0.0097)
2_10-10_15_0.01: tensor(0.0104)
2_10-10_15_0.02: tensor(0.0116)
2_10-10_15_0.03: tensor(0.0106)
2_10-10_15_0.04: tensor(0.0113)
2_10-10_15_0.05: tensor(0.0088)
2_10-10_15_0.06: tensor(0.0139)
2_10-10_15_0.07: tensor(0.0120)
2_10-10_15_0.08: tensor(0.0126)
2_10-10_15_0.09: tensor(0.0090)
2_10-10_15_0.1: tensor(0.0075)
2_10-10_15_0.2: tensor(0.0130)
2_10-10_15_0.3: tensor(0.0386)
2_10-10_15_0.4: tensor(0.0279)
2_10-10_15_0.5: tensor(0.0343)
2_10-10_15_0.6: tensor(0.0426)
2_10-10_15_0.7: tensor(0.0478)
2_10-10_15_0.8: tensor(0.0510)
2_10-10_15_0.9: tensor(0.0484)
2_10-10_15_1: tensor(0.0548)
