2_15-15_30_0.0009_3: tensor(0.0113)
2_15-15_30_0.0009_5: tensor(0.0082)
2_15-15_30_0.0009_8: tensor(0.0070)
2_15-15_30_0.0009_10: tensor(0.0068)
2_15-15_30_0.0009_15: tensor(0.0068)
2_15-15_30_0.0009_20: tensor(0.0071)
2_15-15_30_0.0009_30: tensor(0.0075)
2_15-15_30_0.0009_40: tensor(0.0086)
2_15-15_30_0.0009_50: tensor(0.0096)
2_15-15_30_0.0009_100: tensor(0.0115)
2_15-15_30_0.0009_200: tensor(0.0137)
2_15-15_30_0.0009_300: tensor(0.0157)
2_15-15_30_0.0009_400: tensor(0.0158)
2_15-15_30_0.0009_500: tensor(0.0159)
