1_5_15: tensor(0.0051)
1_5_30: tensor(0.0040)
1_5_50: tensor(0.0043)
1_5_100: tensor(0.0073)
1_5_150: tensor(0.0097)
1_5_200: tensor(0.0112)
1_5_300: tensor(0.0139)
1_5_400: tensor(0.0147)
1_5_500: tensor(0.0146)
1_10_15: tensor(0.0048)
1_10_30: tensor(0.0053)
1_10_50: tensor(0.0059)
1_10_100: tensor(0.0087)
1_10_150: tensor(0.0119)
1_10_200: tensor(0.0152)
1_10_300: tensor(0.0208)
1_10_400: tensor(0.0238)
1_10_500: tensor(0.0267)
1_15_15: tensor(0.0044)
1_15_30: tensor(0.0054)
1_15_50: tensor(0.0074)
1_15_100: tensor(0.0142)
1_15_150: tensor(0.0191)
1_15_200: tensor(0.0237)
1_15_300: tensor(0.0321)
1_15_400: tensor(0.0383)
1_15_500: tensor(0.0415)
1_20_15: tensor(0.0052)
1_20_30: tensor(0.0062)
1_20_50: tensor(0.0094)
1_20_100: tensor(0.0180)
1_20_150: tensor(0.0244)
1_20_200: tensor(0.0289)
1_20_300: tensor(0.0333)
1_20_400: tensor(0.0317)
1_20_500: tensor(0.0292)
