1_5_30_0.0001: tensor(0.0213)
1_5_30_0.0002: tensor(0.0108)
1_5_30_0.0003: tensor(0.0073)
1_5_30_0.0004: tensor(0.0058)
1_5_30_0.0005: tensor(0.0051)
1_5_30_0.0006: tensor(0.0047)
1_5_30_0.0007: tensor(0.0045)
1_5_30_0.0008: tensor(0.0043)
1_5_30_0.0009: tensor(0.0042)
1_5_30_0.001: tensor(0.0041)
1_5_30_0.002: tensor(0.0044)
1_5_30_0.003: tensor(0.0051)
1_5_30_0.004: tensor(0.0062)
1_5_30_0.005: tensor(0.0074)
1_5_30_0.006: tensor(0.0084)
1_5_30_0.007: tensor(0.0091)
1_5_30_0.008: tensor(0.0097)
1_5_30_0.009: tensor(0.0101)
1_5_30_0.01: tensor(0.0103)
1_5_30_0.02: tensor(0.0185)
1_5_30_0.03: tensor(0.0145)
1_5_30_0.04: tensor(0.0124)
1_5_30_0.05: tensor(0.0066)
1_5_30_0.06: tensor(0.0064)
1_5_30_0.07: tensor(0.0057)
1_5_30_0.08: tensor(0.0046)
1_5_30_0.09: tensor(0.0057)
1_5_30_0.1: tensor(0.0061)
1_5_30_0.2: tensor(0.0073)
1_5_30_0.3: tensor(0.0090)
1_5_30_0.4: tensor(0.0120)
1_5_30_0.5: tensor(0.0138)
1_5_30_0.6: tensor(0.0156)
1_5_30_0.7: tensor(0.0162)
1_5_30_0.8: tensor(0.0163)
1_5_30_0.9: tensor(0.0184)
1_5_30_1: tensor(0.0935)
