2_10-10_15_0.004_2: tensor(0.0095)
2_10-10_15_0.004_4: tensor(0.0049)
2_10-10_15_0.004_8: tensor(0.0039)
2_10-10_15_0.004_10: tensor(0.0040)
2_10-10_15_0.004_15: tensor(0.0040)
2_10-10_15_0.004_20: tensor(0.0042)
2_10-10_15_0.004_30: tensor(0.0045)
2_10-10_15_0.004_40: tensor(0.0043)
2_10-10_15_0.004_50: tensor(0.0043)
2_10-10_15_0.004_100: tensor(0.0053)
2_10-10_15_0.004_200: tensor(0.0070)
2_10-10_15_0.004_300: tensor(0.0081)
2_10-10_15_0.004_400: tensor(0.0081)
2_10-10_15_0.004_500: tensor(0.0079)
