2_10-10_15_0.0001: tensor(0.0091)
2_10-10_15_0.0002: tensor(0.0071)
2_10-10_15_0.0003: tensor(0.0059)
2_10-10_15_0.0004: tensor(0.0053)
2_10-10_15_0.0005: tensor(0.0049)
2_10-10_15_0.0006: tensor(0.0047)
2_10-10_15_0.0007: tensor(0.0045)
2_10-10_15_0.0008: tensor(0.0045)
2_10-10_15_0.0009: tensor(0.0044)
2_10-10_15_0.001: tensor(0.0044)
2_10-10_15_0.002: tensor(0.0044)
2_10-10_15_0.003: tensor(0.0044)
2_10-10_15_0.004: tensor(0.0042)
2_10-10_15_0.005: tensor(0.0043)
2_10-10_15_0.006: tensor(0.0046)
2_10-10_15_0.007: tensor(0.0050)
2_10-10_15_0.008: tensor(0.0057)
2_10-10_15_0.009: tensor(0.0059)
2_10-10_15_0.01: tensor(0.0063)
2_10-10_15_0.02: tensor(0.0077)
2_10-10_15_0.03: tensor(0.0067)
2_10-10_15_0.04: tensor(0.0079)
2_10-10_15_0.05: tensor(0.0057)
2_10-10_15_0.06: tensor(0.0062)
2_10-10_15_0.07: tensor(0.0053)
2_10-10_15_0.08: tensor(0.0051)
2_10-10_15_0.09: tensor(0.0060)
2_10-10_15_0.1: tensor(0.0044)
2_10-10_15_0.2: tensor(0.0105)
2_10-10_15_0.3: tensor(0.0218)
2_10-10_15_0.4: tensor(0.0201)
2_10-10_15_0.5: tensor(0.0169)
2_10-10_15_0.6: tensor(0.0174)
2_10-10_15_0.7: tensor(0.0339)
2_10-10_15_0.8: tensor(0.0367)
2_10-10_15_0.9: tensor(0.0353)
2_10-10_15_1: tensor(0.1461)
