2_20-20_15_0.002_3: tensor(0.0063)
2_20-20_15_0.002_5: tensor(0.0056)
2_20-20_15_0.002_8: tensor(0.0060)
2_20-20_15_0.002_10: tensor(0.0060)
2_20-20_15_0.002_15: tensor(0.0066)
2_20-20_15_0.002_20: tensor(0.0065)
2_20-20_15_0.002_30: tensor(0.0073)
2_20-20_15_0.002_40: tensor(0.0080)
2_20-20_15_0.002_50: tensor(0.0087)
2_20-20_15_0.002_100: tensor(0.0093)
2_20-20_15_0.002_200: tensor(0.0097)
2_20-20_15_0.002_300: tensor(0.0101)
2_20-20_15_0.002_400: tensor(0.0108)
2_20-20_15_0.002_500: tensor(0.0108)
